Name,Application ID
Proton Mail Bridge,ch.protonmail.protonmail-bridge
Obfuscate,com.belmoussaoui.Obfuscate
Bitwarden,com.bitwarden.desktop
Buckets,com.budgetwithbuckets.Buckets
Discord,com.discordapp.Discord
Heroic Games Launcher,com.heroicgameslauncher.hgl
OBS Studio,com.obsproject.Studio
Caprine,com.sindresorhus.Caprine
Slack,com.slack.Slack
Spotify,com.spotify.Client
SGDBoop,com.steamgriddb.SGDBoop
Bottles,com.usebottles.bottles
Steam,com.valvesoftware.Steam
Vivaldi,com.vivaldi.Vivaldi
OpenSpades,jp.yvt.OpenSpades
ProtonUp-Qt,net.davidotek.pupgui2
Audacity,org.audacityteam.Audacity
Fedora Media Writer,org.fedoraproject.MediaWriter
Déjà Dup Backups,org.gnome.DejaDup
digiKam,org.kde.digikam
Tokodon,org.kde.tokodon
LocalSend,org.localsend.localsend_app
Thunderbird,org.mozilla.Thunderbird
ONLYOFFICE Desktop Editors,org.onlyoffice.desktopeditors
Remmina,org.remmina.Remmina
VLC,org.videolan.VLC
Xonotic,org.xonotic.Xonotic
XClicker,xyz.xclicker.xclicker

